timestamp,cpu,memory
2025-04-24T17:08:21.908,0,0
2025-04-24T17:08:31.247,1006,536870912000
2025-04-24T17:08:31.247,1974,689963008000
2025-04-24T17:08:31.267,2762,1002438656000
2025-04-24T17:08:31.875,3925,1528823808000
2025-04-24T17:08:39.373,2919,991952896000
2025-04-24T17:08:39.896,3401,1431306240000
2025-04-24T17:08:40.241,3907,1830813696000
2025-04-24T17:08:47.363,2939,1677721600000
2025-04-24T17:08:49.868,3064,1891631104000
2025-04-24T17:08:50.902,3653,2703228928000
2025-04-24T17:08:59.988,2490,2176843776000
2025-04-24T17:09:01.893,3236,2313158656000
2025-04-24T17:09:02.903,3751,3030384640000
2025-04-24T17:09:02.938,3626,2816475136000
2025-04-24T17:09:09.999,3144,2377121792000
2025-04-24T17:09:11.465,2356,2064646144000
2025-04-24T17:09:13.909,2954,2624585728000
2025-04-24T17:09:14.298,3998,3413114880000
2025-04-24T17:09:14.940,3252,3276800000000
2025-04-24T17:09:14.954,2663,2465202176000
2025-04-24T17:09:15.865,3494,3301965824000
2025-04-24T17:09:17.288,2988,2902458368000
2025-04-24T17:09:18.894,3458,3172990976000
2025-04-24T17:09:18.894,3890,3431989248000
2025-04-24T17:09:22.963,3420,3161456640000
2025-04-24T17:09:32.955,2822,2601517056000
2025-04-24T17:09:33.326,3633,3105882112000
2025-04-24T17:09:33.960,3201,2846883840000
2025-04-24T17:09:33.982,2686,2129657856000
2025-04-24T17:09:35.335,3469,2571108352000
2025-04-24T17:09:36.420,2425,1782579200000
2025-04-24T17:09:38.877,3083,2109734912000
2025-04-24T17:09:49.966,3894,2630877184000
2025-04-24T17:09:51.453,3083,2126512128000
2025-04-24T17:09:51.874,3890,2599419904000
2025-04-24T17:10:05.417,3107,2157969408000
2025-04-24T17:10:10.991,2276,1321205760000
2025-04-24T17:10:11.425,3379,2083520512000
2025-04-24T17:10:15.946,2572,1610612736000
2025-04-24T17:10:16.026,3886,1668284416000
2025-04-24T17:10:18.512,2783,905969664000
2025-04-24T17:10:18.526,3634,1536163840000
2025-04-24T17:10:23.957,2976,1209008128000
2025-04-24T17:10:27.114,2165,687865856000
2025-04-24T17:10:27.468,3296,1172307968000
2025-04-24T17:10:27.575,2445,542113792000
2025-04-24T17:10:28.471,3888,1060110336000
2025-04-24T17:10:32.097,2574,1002438656000
2025-04-24T17:10:32.874,3280,1732247552000
2025-04-24T17:10:32.876,3926,1851785216000
2025-04-24T17:10:36.536,2795,1367343104000
2025-04-24T17:10:37.872,3730,1858076672000
2025-04-24T17:10:39.904,3024,1128267776000
2025-04-24T17:10:44.530,1581,610271232000
2025-04-24T17:10:44.558,2767,1244659712000
2025-04-24T17:10:45.497,3798,1908408320000
2025-04-24T17:11:07.564,2767,1244659712000
2025-04-24T17:11:10.859,3503,1633681408000
2025-04-24T17:11:11.900,2568,1142947840000
2025-04-24T17:11:12.546,3790,1239416832000
2025-04-24T17:11:12.611,2604,605028352000
2025-04-24T17:11:13.543,3213,826277888000
2025-04-24T17:11:25.606,1991,729808896000
2025-04-24T17:11:26.586,3335,1051721728000
2025-04-24T17:11:28.879,3965,1517289472000
2025-04-24T17:11:28.899,3229,1128267776000
2025-04-24T17:11:35.872,3867,1692401664000
2025-04-24T17:11:36.640,2523,1370488832000
2025-04-24T17:11:37.679,3849,1502609408000
2025-04-24T17:11:40.910,3211,938475520000
2025-04-24T17:11:42.904,2565,818937856000
2025-04-24T17:11:43.691,3756,1697644544000
2025-04-24T17:11:47.725,2430,1565523968000
2025-04-24T17:11:47.855,3128,1656750080000
2025-04-24T17:11:50.706,3921,2234515456000
2025-04-24T17:11:50.740,2730,1355808768000
2025-04-24T17:11:50.844,3764,1560281088000
2025-04-24T17:11:51.598,3155,1339031552000
2025-04-24T17:11:52.899,3794,1799356416000
2025-04-24T17:11:52.917,2760,1594884096000
2025-04-24T17:11:57.846,3919,2070937600000
2025-04-24T17:11:58.905,3289,1605369856000
2025-04-24T17:12:01.971,2650,1145044992000
2025-04-24T17:12:05.752,1857,567279616000
2025-04-24T17:12:05.843,2737,1385168896000
2025-04-24T17:12:05.853,3558,1680867328000
2025-04-24T17:12:06.887,2737,1385168896000
2025-04-24T17:12:08.860,3657,1918894080000
2025-04-24T17:12:16.930,2498,1442840576000
2025-04-24T17:12:18.770,3902,2624585728000
2025-04-24T17:12:20.935,3204,2533359616000
2025-04-24T17:12:24.926,2324,1715470336000
2025-04-24T17:12:25.837,920,533725184000
2025-04-24T17:12:27.786,2806,911212544000
2025-04-24T17:12:30.886,1886,377487360000
2025-04-24T17:12:49.852,0,0
2025-04-24T17:12:54.842,0,0
